thread number,time
2,662
2,653
2,647
2,647
2,653
3,802
3,821
3,819
3,809
3,814
4,16335
4,16269
4,16904
4,14792
4,14501
5,14337
5,14003
5,13239
5,12484
5,14505
6,10009
6,9114
6,9867
6,9435
6,9882
7,9769
7,9514
7,8416
7,9059
7,9079
8,14816
8,15558
8,14960
8,13320
8,14133
9,13698
9,13067
9,12865
9,13397
9,12958
10,14121
10,13310
10,14194
10,14539
10,14120
11,14183
11,14254
11,14314
11,13120
11,13912
12,19596
12,19387
12,19704
12,19369
12,19441
13,17610
13,18501
13,19300
13,20065
13,19824
14,23238
14,19269
14,23173
14,21686
14,21767
15,23264
15,22549
15,23256
15,21081
15,23335
16,28011
16,27652
16,28202
16,25504
16,25085
